split_id,predictive_model_id,job_id,encoding_value_encoding,encoding_prefix_length,encoding_task_generation_type,labelling_type,labelling_attribute_name,clustering_method,predictive_model,evaluation_elapsed_time,evaluation_f1_score,evaluation_accuracy,evaluation_precision,evaluation_recall,evaluation_auc,evaluation_true_positive,evaluation_false_positive,evaluation_true_negative,evaluation_false_negative,hyperparameter_optimizer_performance_metric,hyperparameter_optimizer_max_evaluations
11,197841,306,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.135813,0.541593651315533,0.557806650517507,0.54220162221271,0.541504103826327,0.51464701666511,3387.0,2105.0,1679.0,1911.0,auc,1000
3,78388,98,simpleIndex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.138940,0.489393731898307,0.494709439032583,0.511608472165591,0.510626883516891,0.498693190211068,3553.0,4229.0,2338.0,1788.0,auc,1000
17,231024,367,simpleIndex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.050764,0.523068584731208,0.546238620028749,0.526961153826826,0.525179991176443,0.520456102803826,800.0,550.0,340.0,397.0,auc,1000
18,263350,418,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.166018,0.4706346354367,0.498130523453433,0.533564683464949,0.523677660236465,0.536800025170777,795.0,534.0,2136.0,2419.0,auc,1000
22,310333,497,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.549172,0.484462718022316,0.689009159034138,0.506640998708194,0.503301802286001,0.525874717832957,1584.0,559.0,71.0,188.0,auc,1000
6,101455,136,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.238207,0.258691809074838,0.631049353138476,0.211362542128069,0.333333333333333,0.577453184628583,0.0,0.0,1317.0,770.0,auc,1000
11,228229,356,simpleIndex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.172236,0.364771151178918,0.574235807860262,0.287117903930131,0.5,0.628222521435787,6838.0,5070.0,0.0,0.0,auc,1000
8,104899,143,complex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.285356,0.181283684468398,0.265931959750838,0.255524861878453,0.140470766894457,0.649188928004418,0.0,0.0,1317.0,770.0,auc,1000
8,130311,188,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.102439,0.208650477226048,0.380312706452323,0.211021505376344,0.206332138590203,0.514373916389815,0.0,0.0,5580.0,3502.0,auc,1000
21,335833,541,complex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.480373,0.52999519353516,0.731847725162488,0.717724751192864,0.554474610856769,0.63192285676913,7470.0,2713.0,412.0,175.0,auc,1000
13,235532,358,simpleIndex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.926620,0.410150071380612,0.578938528720188,0.56977466977467,0.510775380415626,0.533467416969678,6632.0,4808.0,262.0,206.0,auc,1000
12,228467,357,simpleIndex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.138730,0.468070801119317,0.500671817265704,0.582710629526533,0.549542151326299,0.60032160170021,1507.0,615.0,4455.0,5331.0,auc,1000
12,207391,317,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.270748,0.586071940479406,0.589958158995816,0.587764841242787,0.590207312265109,0.618812760529523,3119.0,1545.0,2239.0,2179.0,auc,1000
11,207919,321,complex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.334309,0.368428372739917,0.583351684650958,0.291675842325479,0.5,0.5,5298.0,3784.0,0.0,0.0,auc,1000
17,267650,427,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.110040,0.547043983025643,0.555164060779564,0.555411101339966,0.552174184361812,0.567460910159166,3129.0,2515.0,1913.0,1525.0,auc,1000
